"table","Reference","DOI","Description","URL..for.data.","BibTex"
"cmu_algebra_2006","Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2005-2006. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",NA,"Data on student performance on math items from an intelligent tutoring system","https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp","@inproceedings{stamper2010algebra,
  author = {Stamper, J. and Niculescu-Mizil, A. and Ritter, S. and Gordon, G.J. and Koedinger, K.R.},
  title = {Algebra I 2005-2006},
  booktitle = {Development data set from KDD Cup 2010 Educational Data Mining Challenge},
  year = {2010},
  url = {https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp},
  note = {Data on student performance on math items from an intelligent tutoring system}
}"
"cmu_algebra_2007","Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",NA,"Data on student performance on math items from an intelligent tutoring system","https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp","@inproceedings{Stamper2010,
  author = {Stamper, J. and Niculescu-Mizil, A. and Ritter, S. and Gordon, G.J. and Koedinger, K.R.},
  title = {Algebra I 2006-2007},
  booktitle = {Development data set from KDD Cup 2010 Educational Data Mining Challenge},
  year = {2010},
  url = {https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp},
  note = {Data on student performance on math items from an intelligent tutoring system}
}"
"cmu_algebra_2009","Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",NA,"Data on student performance on math items from an intelligent tutoring system","https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp","@inproceedings{stamper2010algebra,
  author = {Stamper, J. and Niculescu-Mizil, A. and Ritter, S. and Gordon, G.J. and Koedinger, K.R.},
  title = {Algebra I 2008-2009},
  booktitle = {Challenge data set from KDD Cup 2010 Educational Data Mining Challenge},
  year = {2010},
  url = {https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp},
  note = {Data on student performance on math items from an intelligent tutoring system}
}"
"cmu_bridging_algebra_2007","Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",NA,"Data on student performance on math items from an intelligent tutoring system","https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp","@inproceedings{Stamper2010,
  author = {Stamper, J. and Niculescu-Mizil, A. and Ritter, S. and Gordon, G.J. and Koedinger, K.R.},
  title = {Bridge to Algebra 2006-2007},
  booktitle = {Development data set from KDD Cup 2010 Educational Data Mining Challenge},
  year = {2010},
  url = {https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp},
  note = {Data on student performance on math items from an intelligent tutoring system}
}"
"cmu_bridging_algebra_2009","Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",NA,"Data on student performance on math items from an intelligent tutoring system","https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp","@inproceedings{Stamper2010,
  author = {Stamper, J. and Niculescu-Mizil, A. and Ritter, S. and Gordon, G.J. and Koedinger, K.R.},
  title = {Bridge to Algebra 2008-2009},
  booktitle = {Challenge data set from KDD Cup 2010 Educational Data Mining Challenge},
  year = {2010},
  url = {https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp},
  note = {Data on student performance on math items from an intelligent tutoring system}
}"
"coomansaddition","Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.","10.1371/journal.pone.0155149","Arithmetic items from MathGarden","https://osf.io/pbuvj/files/osfstorage"," @article{Coomans_2016, title={Distinguishing Fast and Slow Processes in Accuracy - Response Time Data}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0155149}, DOI={10.1371/journal.pone.0155149}, number={5}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Coomans, Frederik and Hofman, Abe and Brinkhuis, Matthieu and van der Maas, Han L. J. and Maris, Gunter}, editor={Eriksson, Kimmo}, year={2016}, month=may, pages={e0155149} }
"
"coomansdivision","Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.","10.1371/journal.pone.0155149","Arithmetic items from MathGarden","https://osf.io/pbuvj/files/osfstorage"," @article{Coomans_2016, title={Distinguishing Fast and Slow Processes in Accuracy - Response Time Data}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0155149}, DOI={10.1371/journal.pone.0155149}, number={5}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Coomans, Frederik and Hofman, Abe and Brinkhuis, Matthieu and van der Maas, Han L. J. and Maris, Gunter}, editor={Eriksson, Kimmo}, year={2016}, month=may, pages={e0155149} }
"
"coomansletterchaos","Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.","10.1371/journal.pone.0155149","Tasks from game ""Letter Chaos""","https://osf.io/pbuvj/files/osfstorage"," @article{Coomans_2016, title={Distinguishing Fast and Slow Processes in Accuracy - Response Time Data}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0155149}, DOI={10.1371/journal.pone.0155149}, number={5}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Coomans, Frederik and Hofman, Abe and Brinkhuis, Matthieu and van der Maas, Han L. J. and Maris, Gunter}, editor={Eriksson, Kimmo}, year={2016}, month=may, pages={e0155149} }
"
"coomansmultiplication","Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.","10.1371/journal.pone.0155149","Arithmetic items from MathGarden","https://osf.io/pbuvj/files/osfstorage"," @article{Coomans_2016, title={Distinguishing Fast and Slow Processes in Accuracy - Response Time Data}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0155149}, DOI={10.1371/journal.pone.0155149}, number={5}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Coomans, Frederik and Hofman, Abe and Brinkhuis, Matthieu and van der Maas, Han L. J. and Maris, Gunter}, editor={Eriksson, Kimmo}, year={2016}, month=may, pages={e0155149} }
"
"coomansset","Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.","10.1371/journal.pone.0155149","Tasks from game ""Set""","https://osf.io/pbuvj/files/osfstorage"," @article{Coomans_2016, title={Distinguishing Fast and Slow Processes in Accuracy - Response Time Data}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0155149}, DOI={10.1371/journal.pone.0155149}, number={5}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Coomans, Frederik and Hofman, Abe and Brinkhuis, Matthieu and van der Maas, Han L. J. and Maris, Gunter}, editor={Eriksson, Kimmo}, year={2016}, month=may, pages={e0155149} }
"
"coomanssubtraction","Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.","10.1371/journal.pone.0155149","Arithmetic items from MathGarden","https://osf.io/pbuvj/files/osfstorage"," @article{Coomans_2016, title={Distinguishing Fast and Slow Processes in Accuracy - Response Time Data}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0155149}, DOI={10.1371/journal.pone.0155149}, number={5}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Coomans, Frederik and Hofman, Abe and Brinkhuis, Matthieu and van der Maas, Han L. J. and Maris, Gunter}, editor={Eriksson, Kimmo}, year={2016}, month=may, pages={e0155149} }
"
"csedm_data_challenge_fall2019full","Rivers, K., Price, T. (2019). 2nd CSEDM Data Challenge - F19 All Data v1.0 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2865",NA,"Additional item-level data from the 2019 CSEDM workshop released after challenge end","https://pslcdatashop.web.cmu.edu/Files?datasetId=3458","@misc{Rivers2019,
  author = {Rivers, K. and Price, T.},
  title = {2nd CSEDM Data Challenge - F19 All Data v1.0},
  year = {2019},
  note = {Data set},
  howpublished = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2865},
  description = {Additional item-level data from the 2019 CSEDM workshop released after challenge end}
}"
"csedm_data_challenge_spring2019full","Rivers, K., Price, T. (2019). 2nd CSEDM Data Challenge - S19 All Data v1.0 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2866",NA,"Additional item-level data from the 2019 CSEDM workshop released in Spring 2019","https://pslcdatashop.web.cmu.edu/Files?datasetId=3459","@misc{Rivers2019,
  author = {Rivers, K. and Price, T.},
  title = {2nd CSEDM Data Challenge - S19 All Data v1.0},
  year = {2019},
  note = {Data set},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2866}
}"
"csedm_data_challenge","Rivers, K., Price, T. (2019). CSEDM Data Challenge v1.1 (Updated 2019/01/29) [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2865",NA,"Programming IRW and process data from the 2019 Education Data Mining in Computer Science Education workshop","https://pslcdatashop.web.cmu.edu/Files?datasetId=2865","@misc{Rivers2019,
  author = {Rivers, K. and Price, T.},
  title = {CSEDM Data Challenge v1.1 (Updated 2019/01/29)},
  year = {2019},
  note = {Programming IRW and process data from the 2019 Education Data Mining in Computer Science Education workshop},
  howpublished = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2865}
}"
"differences_spotting_study1","Liu, J., Shen, Q., Zhang, J. et al. UnsolvableItemsSelection_Raw_CombinedSampleN=131 [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w","10.3758/s13428-020-01526-w","Participants were asked to look at two similar pictures and identify (1) whether there were any differences between the photos, and (2) where the differences were. Participants were monetarily incentivized to spot the differences.","https://osf.io/s8qdk/"," @article{Liu_2021, title={The Difference Spotting Task: A new nonverbal measure of cheating behavior}, volume={53}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-020-01526-w}, DOI={10.3758/s13428-020-01526-w}, number={5}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Liu, Jinting and Shen, Qiang and Zhang, Jieting and Beyens, Urielle and Cai, Wei and Decety, Jean and Li, Hong}, year={2021}, month=mar, pages={1935–1944} }
"
"differences_spotting_study2","Liu, J., Shen, Q., Zhang, J. et al. SolvableItemsSelection_Summary_CombinedSampleN=135 [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w","10.3758/s13428-020-01526-w","Similar to study 1, participants were asked to identify areas of difference between two photos. Unlike study 1, there was no opportunity to cheat. Participants were monetarily incentivized to spot the differences.","https://osf.io/s8qdk/"," @article{Liu_2021, title={The Difference Spotting Task: A new nonverbal measure of cheating behavior}, volume={53}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-020-01526-w}, DOI={10.3758/s13428-020-01526-w}, number={5}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Liu, Jinting and Shen, Qiang and Zhang, Jieting and Beyens, Urielle and Cai, Wei and Decety, Jean and Li, Hong}, year={2021}, month=mar, pages={1935–1944} }
"
"differences_spotting_study3_die","Liu, J., Shen, Q., Zhang, J. et al. DieGuessingTask_Raw [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w","10.3758/s13428-020-01526-w","Participants watched a die tossing video and asked to predict in advance which numbers the die would land on. Responses record whether their predictions were correct. Participants were monetarily incentivized to spot the differences.","https://osf.io/s8qdk/"," @article{Liu_2021, title={The Difference Spotting Task: A new nonverbal measure of cheating behavior}, volume={53}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-020-01526-w}, DOI={10.3758/s13428-020-01526-w}, number={5}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Liu, Jinting and Shen, Qiang and Zhang, Jieting and Beyens, Urielle and Cai, Wei and Decety, Jean and Li, Hong}, year={2021}, month=mar, pages={1935–1944} }
"
"differences_spotting_study3_dots","Liu, J., Shen, Q., Zhang, J. et al. DotsTask_Raw [data set]. Behav Res 53, 1935–1944 (2021). https://doi.org/10.3758/s13428-020-01526-w","10.3758/s13428-020-01526-w","Participants were presented with a square bisected by a vertical line. Each side of the line had a certain number of dots, and participants were asked to identify which side had more dots. They were told that it was more difficult to assess the number of dots on the left side, and so the monetary reward for guessing the left panel was higher","https://osf.io/s8qdk/"," @article{Liu_2021, title={The Difference Spotting Task: A new nonverbal measure of cheating behavior}, volume={53}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-020-01526-w}, DOI={10.3758/s13428-020-01526-w}, number={5}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Liu, Jinting and Shen, Qiang and Zhang, Jieting and Beyens, Urielle and Cai, Wei and Decety, Jean and Li, Hong}, year={2021}, month=mar, pages={1935–1944} }
"
"digital_games_kentucky","Lomas, D. (2011). Classroom: Exp1 - UCLA-Kentucky [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=445",NA,"Items from a digital games study to test the theory that fractions should be introduced to students mixed with whole numbers on the same line to demonstrate that they represent magnitudes of the same type of whole numbers","https://pslcdatashop.web.cmu.edu/Files?datasetId=445","@misc{lomas2011,
  author = {Lomas, D.},
  title = {Classroom: Exp1 - UCLA-Kentucky},
  year = {2011},
  howpublished = {Dataset},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=445},
  note = {Items from a digital games study to test the theory that fractions should be introduced to students mixed with whole numbers on the same line to demonstrate that they represent magnitudes of the same type of whole numbers}
}"
"duval4","Kyngdon, A. (2011). Plausible measurement analogies to some psychometric models of test performance. British Journal of Mathematical & Statistical Psychology, 64(3), 478–497.","10.1348/2044-8317.002004","Data from Lexile tasks given to 4th graders","n/a"," @article{Kyngdon_2010, title={Plausible measurement analogies to some psychometric models of test performance}, volume={64}, ISSN={2044-8317}, url={http://dx.doi.org/10.1348/2044-8317.002004}, DOI={10.1348/2044-8317.002004}, number={3}, journal={British Journal of Mathematical and Statistical Psychology}, publisher={Wiley}, author={Kyngdon, Andrew}, year={2010}, month=dec, pages={478–497} }
"
"duval8","Kyngdon, A. (2011). Plausible measurement analogies to some psychometric models of test performance. British Journal of Mathematical & Statistical Psychology, 64(3), 478–497.","10.1348/2044-8317.002004","Data from Lexile tasks given to 8th graders","n/a"," @article{Kyngdon_2010, title={Plausible measurement analogies to some psychometric models of test performance}, volume={64}, ISSN={2044-8317}, url={http://dx.doi.org/10.1348/2044-8317.002004}, DOI={10.1348/2044-8317.002004}, number={3}, journal={British Journal of Mathematical and Statistical Psychology}, publisher={Wiley}, author={Kyngdon, Andrew}, year={2010}, month=dec, pages={478–497} }
"
"elpi_ninos_2017","n/a",NA,"Data on Chilean youths' feelings and self-evaluations of social belonging, academic performance, ambitions, technology use, etc. (3rd round of longitudinal study)","http://observatorio.ministeriodesarrollosocial.gob.cl/elpi-tercera-ronda","misc"
"hrs_cesd","Steffick, D. E., Wallace, R. B., & Herzog, A. R. (2000). Documentation of affective functioning measures in the Health and Retirement Study. Ann Arbor, MI: University of Michigan, 15.",NA,"Longitudinal data from a modified CESD in the Health and Retirement Study (HRS)","https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004","Steffick, D. E. and Wallace, R. B. and Herzog, A. R."
"hrs_health","RAND HRS Longitudinal File 2018 (V2). Produced by the RAND Center for the Study of Aging, with funding from the National Institute on Aging and the Social Security Administration. Santa Monica, CA (July 2022).",NA,"Longitudinal data on chronic conditions, ADL, and IADLs from the Health and Retirement Study (HRS)","https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004","@misc{RAND2018,
  title = {RAND HRS Longitudinal File 2018 (V2)},
  author = {RAND Center for the Study of Aging},
  year = {2022},
  month = {July},
  note = {Produced with funding from the National Institute on Aging and the Social Security Administration},
  howpublished = {Santa Monica, CA},
  url = {https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004},
  description = {Longitudinal data on chronic conditions, ADL, and IADLs from the Health and Retirement Study (HRS)}
}"
"fractions_experiment","Aleven, V., Rau, M., Weitekamp, D. (2013) Cleaned logs with modified step names [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=580",NA,"Data from an experiment using an online tutor to teach fractions","https://pslcdatashop.web.cmu.edu/Files?datasetId=580","@misc{Aleven2013,
  author = {Aleven, Vincent and Rau, Mark and Weitekamp, D.},
  title = {Cleaned logs with modified step names},
  year = {2013},
  howpublished = {Data set},
  note = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=580},
  description = {Data from an experiment using an online tutor to teach fractions}
}"
"gatech_cappunish","Roberts, J. S. (1995). Item response theory approaches to attitude measurement. (Doctoral dissertation, University of South Carolina, Columbia, 1995). Dissertation Abstracts International, 56, 7089B.",NA,"Attitudes towards capital punishment","https://prdlab.gatech.edu/unfolding/data/","@phdthesis{roberts1995,
  author = {Roberts, J. S.},
  title = {Item response theory approaches to attitude measurement},
  school = {University of South Carolina},
  year = {1995},
  address = {Columbia},
  note = {Dissertation Abstracts International, 56, 7089B},
  url = {https://prdlab.gatech.edu/unfolding/data/},
  description = {Attitudes towards capital punishment}
}"
"gatech_censor","Roberts, J. S. (1995). Item response theory approaches to attitude measurement. (Doctoral dissertation, University of South Carolina, Columbia, 1995). Dissertation Abstracts International, 56, 7089B.",NA,"Attitudes about censorship","https://prdlab.gatech.edu/unfolding/data/","@phdthesis{roberts1995,
  author = {Roberts, J. S.},
  title = {Item response theory approaches to attitude measurement},
  school = {University of South Carolina},
  year = {1995},
  address = {Columbia},
  note = {Dissertation Abstracts International, 56, 7089B},
  url = {https://prdlab.gatech.edu/unfolding/data/},
  description = {Attitudes about censorship}
}"
"geometry_course","Aleven, V., Bllings, B. (2007). Step tables and test scores [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=122",NA,"Data from an online geomtry course, which allows students to get hints","https://pslcdatashop.web.cmu.edu/Files?datasetId=122","@misc{Aleven2007,
  author = {Aleven, Vincent and Bllings, Bruce},
  title = {Step tables and test scores},
  year = {2007},
  howpublished = {Data set},
  note = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=122}
}"
"handwriting_2006","Anthony, L., & Ritter, S. (2008). Handwriting2/Examples Spring 2007. Dataset 165 in DataShop. Retrieved from https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=165.",NA,"Items from a study that compares a Cognitive Tutor Algebra tutor (used in a handwriting-based interface) to one enhanced with examples","https://pslcdatashop.web.cmu.edu/Files?datasetId=145","@misc{anthony2008handwriting,
  author = {Anthony, L. and Ritter, S.},
  title = {Handwriting2/Examples Spring 2007},
  year = {2008},
  note = {Dataset 165 in DataShop},
  url = {https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=165},
  description = {Items from a study that compares a Cognitive Tutor Algebra tutor (used in a handwriting-based interface) to one enhanced with examples}
}"
"handwriting_2007","Anthony, L., & Ritter, S. (2008). Handwriting/Examples Dec 2006. Dataset 145 in DataShop. Retrieved from https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=145.",NA,"Items from a study used to assess various cognitive tutor interventions in a handwriting-based interface","https://pslcdatashop.web.cmu.edu/Files?datasetId=165","@misc{anthony2008handwriting,
  author = {Anthony, L. and Ritter, S.},
  title = {Handwriting/Examples Dec 2006},
  year = {2008},
  note = {Dataset 145 in DataShop},
  url = {https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=145},
  description = {Items from a study used to assess various cognitive tutor interventions in a handwriting-based interface}
}"
